NÂ°,Codigo Nacional,Codigo OACI,Nombre,Latitud,Longitud,Altitud (Mts),Altura Minima (Mts),Propietario,Fecha Creacion,Tipo,Clasificacion,Zona Geografica,Region,Emite METAR,Emite SYNOP,Paisaje,Operador
634,340022  ,,Placilla,-34.64222,-71.13944,242,0,DMC,01-05-1921,Convencional,Pluviometrica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Valle rodeado de predios agricolas, rio Tinguiririca 4 km al norte.",Digna Hidalgo Gonzalez
635,340023  ,,"Llico, Reserva Laguna Torca",-34.76722,-72.06528,36,0,DMC,01-01-1971,Convencional,AgroMeteorologica,Secano Costero,Del Maule,No,No,"2,5 Km al Sur Laguna Vichuquen, 2,8 Km aprox. al Este Laguna Torca, 1,5 Km al Oeste litoral.",Gumercindo Concha Jara
636,340024  ,,Chimbarongo subcomisaria,-34.70889,-71.04028,313,0,DMC,01-01-1976,Convencional,Pluviometrica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector urbano,Carabineros de Chile
637,340025  ,,Las Aranas,-34.71556,-71.25028,205,0,DMC,24-06-1963,Convencional,Pluviometrica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Valle, sector agricola",Max Galaz Navarro
638,340026  ,,Teno Sendos,-34.87222,-71.16167,298,0,DMC,01-11-1930,Convencional,Pluviometrica,Valle,Del Maule,No,No,"Sector urbano, ubicada en recinto Sendos, rio Teno 3,5 km al SW.",Jaime Caro Valderrama
639,340027  ,,Iloca Essam,-34.95222,-72.18389,18,0,DMC,01-11-1963,Convencional,Pluviometrica,Litoral,Del Maule,No,No,Zona Costera,Hector Perez Cubillos
640,340028  ,,Hualane Sendos,-34.96750,-71.83167,39,0,DMC,01-11-1963,Convencional,TermoPluviometrica,Valle,Del Maule,No,No,"Sector agricola, 1 km al sur rio Mataquito.",Jose Flores Mayor
641,340029  ,,El Romeral Essam,-34.96028,-71.12528,311,0,DMC,01-11-1963,Convencional,Pluviometrica,Valle,Del Maule,No,No,"Sector agricola, estero de romeral 600 mtrs al sur, rio Teno 5,5 km al sur.",Paola Marchant M.
642,340030  ,,Licanten Essam,-34.98555,-71.98444,29,0,DMC,01-09-1963,Convencional,Pluviometrica,Valle,Del Maule,No,No,Zona Agricola,Joaquin Cabello Farias
643,340031  ,SCIC,"General Freire, Curico Ad.",-34.96944,-71.21694,229,"1,5",DMC,01-10-1917,Mixta,Sinoptica Aeronautica,Valle,Del Maule,Si,Si,"Zona urbana al SW a 100 mtrs, zona urbana al N a 200 Mtrs, cerro al SW a 100 mtrs.",Jose Olivares Herrera (Anexo 2564)
644,340032  ,,"Graneros, Mostazal",-34.06583,-70.74167,474,0,FDF,01-06-1977,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector agricola.,Hugo Jorquera
645,340033  ,,Nancagua,-34.65444,-71.20306,219,0,DMC,01-06-1958,Convencional,Pluviometrica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector Agricola,Ricardo Quezada Padilla
646,340034  ,,"Pangal Endesa, Machali",-34.23917,-70.44250,962,0,DMC,01-01-1967,Convencional,Pluviometrica,PreCordillera,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector precordillerano con abundante vegetacion.,Operador de Pangal Endesa
647,340035  ,,Lolol Hacienda,-34.71083,-71.59556,112,0,DMC,01-11-1918,Convencional,Pluviometrica,Secano Interior,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector rural, al este cerro de aprox. 100 mtrs altura con abundante vegetacion.",Bernardita Becerra Valenzuela
648,340036  ,,San Fernando club aereo,-34.56833,-70.97028,338,0,DMC,01-09-1963,Convencional,Pluviometrica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Valle rodeado de predios agricolas,Juan Marchant Diaz
649,340037  ,,Chepica SENDOS,-34.72889,-71.27417,203,0,DMC,01-01-1974,Convencional,Pluviometrica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector urbano, rodeado de predios agricolas.",Vicente Vilches Rojas
650,340038  ,,San Fernando Ex Sendos,-34.59833,-70.96805,359,0,DMC,01-09-1933,Convencional,Pluviometrica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Ubicada en zona urbana de San Fernando (Copa de agua Planta Essel),Fabian Espinoza Munoz
651,340039  ,,Nancagua 2,-34.66083,-71.28361,189,0,FDF,18-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Abundante vegetacion, con predios agricolas",estacion automatica (FDF)
652,340040  ,SCWC,Colon,-34.08722,-70.45333,"1,971",0,DMC,01-07-1973,Convencional,Climatologica,PreCordillera,Del Libertador Gral. Bernardo O'Higgins,No,Si,Sector precordillerano,Guillermo Galdames Fuentes
653,340041  ,,Santa Isabel de Querelema,-34.60055,-71.96167,138,0,DMC,01-11-1981,Convencional,Pluviometrica,Secano Costero,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector rodeado de cerros costeros,Manuel Abarca Abarca
654,340042  ,,Hidango,-34.11250,-71.79722,300,0,DMC,01-01-1979,Mixta,AgroMeteorologica,Secano Interior,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector Precordillerano,Mirta Morales Cabello
655,340044  ,,San Benito de Chimbarongo,-34.72083,-71.01972,321,0,DMC,01-05-1984,Convencional,TermoPluviometrica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"5 Km al oeste cerros, 8 Km al este comienza Cord. de los Andes",Gladys Jerez Pinto
656,340045  ,,Rancagua,-34.17222,-70.77611,482,0,DMC,01-01-1956,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector urbano, ubicada en el aerodromo Rancagua.",Medio Ambiente/ D.M.C. (Aerodromo del Ejercito de Chile)
657,340046  ,,Caren CODELCO,-34.04361,-71.03222,282,0,DMC,01-01-1975,Convencional,Climatologica,PreCordillera,Metropolitana de Santiago,No,No,Sector rodeado de cerros de aprox. 1000 mtrs altura.,Carlos Brieva Guajardo
658,340047  ,,Machali,-34.18389,-70.64861,573,0,DMC,01-01-1989,Convencional,AgroMeteorologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector urbano, estadio de Machali 180 mtrs al SW.",Juan Cabezas Arriagada
659,340048  ,,Quimavida,-34.21500,-70.99694,316,0,DMC,01-01-1989,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector Agricola y Ganadero,",Automatica (Red Basica)
660,340049  ,,Totihue,-34.32250,-70.82305,383,0,DMC,01-01-1989,Convencional,AgroMeteorologica,PreCordillera,Del Libertador Gral. Bernardo O'Higgins,No,No,"Al SW plantacion de ciruelos, sector agricola",Cesar Rodriguez Vergara
661,340050  ,,Quinta de Tilcoco,-34.35778,-70.96722,287,0,FDF,01-11-1988,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector urbano. 280 mtrs al oeste copa de agua, 480 mtrs al NE plaza de Quinta de Tilcoco.",Teresa Munoz
662,340051  ,,Chanqueahue,-34.43667,-70.78833,472,0,DMC,15-11-1988,Convencional,AgroMeteorologica,PreCordillera,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector agricola; 1,7 km al este, cerros precordilleranos de 1.300 mtrs de altura aprox.",Sergio Martinez Valenzuela
663,340052  ,,La Rosa,-34.32694,-71.25889,149,0,DMC,01-01-1989,Convencional,AgroMeteorologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Estacion rodeada por plantaciones de frutas,Luis Espinoza Arriaza
664,340053  ,,"San Fernando Liceo Agricola, El Carmen (FDF)",-34.59139,-70.97055,353,0,FDF,01-01-1989,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector agricola , bodegas de 2 mts altura a 50 metros al Oeste.",Guillermo Moisan Romero
665,340055  ,,Marchigue,-34.36278,-71.61472,158,0,DMC,01-01-1989,Convencional,AgroMeteorologica,Secano Interior,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector Agricola,Luis Fuentes Castro
666,340056  ,,Lolol,-33.72222,-71.69222,93,0,DMC,01-01-1989,Convencional,AgroMeteorologica,Secano Interior,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector agriicola,Isidro Duran Vasquez
667,340057  ,,Paredones,-34.64472,-71.89750,75,0,DMC,01-01-1989,Convencional,AgroMeteorologica,Secano Interior,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector Agricola, rodeado de cerros de aproximadamente 100 mtrs.",Feliciano Araya
668,340058  ,,El Romero,-34.35444,-71.87833,498,0,DMC,01-01-1989,Convencional,AgroMeteorologica,Secano Costero,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector rodeado de abundante vegetacion, 290 mtrs al sur camino direccion a Pichilemu.",Ramon Munoz Diaz
669,340059  ,,Tanume,-34.21222,-71.91555,391,0,DMC,01-01-1989,Convencional,AgroMeteorologica,Secano Costero,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector forestal rodeado de cerros,Patricio Gallardo Yanez
670,340061  ,,Yaquil,-34.57555,-71.41972,157,0,DMC,01-06-1990,Convencional,AgroMeteorologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector agricola,Jose Mujica Bello
671,340062  ,,Rio Cipreses,-34.26555,-70.46583,943,0,DMC,01-10-1991,Convencional,AgroMeteorologica,PreCordillera,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector precordillerano, rio Cachapoal 160 mtrs al este.",Julio Vergara Z.
672,340063  ,,Los Lingues,-34.52000,-70.87667,387,0,DMC,01-06-1993,Convencional,AgroMeteorologica,PreCordillera,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector agricola,Luis Diaz Soto
673,340064  ,,Colchagua,-34.54556,-71.39194,152,0,DMC,01-09-1993,Convencional,AgroMeteorologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Lugar rodeado de vinedos.,Lilian Vergara Trujillo
674,340065  ,,Los Robles,-34.35139,-71.93889,265,0,DMC,25-07-1996,Convencional,AgroMeteorologica,Secano Costero,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector agricola con abundante vegetacion.,Ramon Munoz Diaz
675,340066  ,,Nilahue - La Quebrada,-34.66083,-71.73528,81,0,DMC,01-10-1996,Automatica,Climatologica,Secano Interior,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector rodeado de cerros.,Red Basica (Est. Automatica) Pamela Penaloza Lizama
676,340067  ,,El Tambo fundo,-34.45222,-71.00389,240,0,DMC,01-08-1990,Convencional,AgroMeteorologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Valle rodeado de predios agricolas, 1 km al sur cerro Corcolen.",Observador del fundo el Tambo
677,340068  ,,Rincon del Abra fundo,-34.25556,-70.92805,358,0,DMC,01-08-1990,Convencional,AgroMeteorologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector agricola, 3 km al sur rio Cachapoal.",Observador fundo Rincon del Abra
678,340069  ,,Codegua fundo,-34.09361,-70.84750,460,0,DMC,01-08-1988,Convencional,AgroMeteorologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector agricola, rodeado de cerros de aprox 1200 mtrs altura, 14 km al sur rio Cachapoal.",Observador fundo Codegua
679,340070  ,,Rancagua fundo,-34.19500,-70.67167,572,0,DMC,01-01-1990,Convencional,AgroMeteorologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector agricola,",Observador fundo Rancagua
680,340071  ,,El Carmen fundo,-34.08333,-70.81667,350,0,DMC,01-09-1988,Convencional,AgroMeteorologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector agricola,Observador de El Carmen fundo
681,340072  ,,Palmilla fundo,-34.57583,-71.38167,160,0,DMC,01-05-1988,Convencional,AgroMeteorologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,SEctor agricola,Observador de fundo Palmilla
682,340073  ,,Peralillo fundo,-34.48472,-71.46278,139,0,DMC,01-05-1990,Convencional,AgroMeteorologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Valle rodeado de predios agricolas.,Observador fundo Peralillo
683,340074  ,,Alcones fundo,-34.38861,-71.73361,167,0,DMC,01-05-1990,Convencional,AgroMeteorologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Valle rodeado de predios agricolas,Observador Alcones fundo
684,340075  ,,Chimbarongo fundo,-34.72444,-71.00861,330,0,DMC,01-05-1990,Convencional,AgroMeteorologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector agricola.,Observador fundo Chimbarongo
685,340077  ,,"Los Choapinos, Requinoa",-34.32305,-70.83472,375,0,FDF,01-08-1999,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector Agricola,Hernan Urrutia Flores
686,340093  ,,Portezuelo-Codelco,-34.19833,-70.57917,"1,185",0,DMC,09-12-2013,Automatica,Climatologica,PreCordillera,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector precordillerano,Automatica (Medio Ambiente/D.M.C)
687,340094  ,,Rancagua Cachapoal - DCP,-34.19083,-70.75083,525,0,DGA,01-11-1978,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector urbano,Est. Automatica
688,340095  ,,Canal. Sauzal Pte. Termas,-34.24083,-70.55555,781,0,DGA,01-08-2005,Automatica,Climatologica,PreCordillera,Del Libertador Gral. Bernardo O'Higgins,No,No,Valle rodeado de cerros de aprox. 300 mtrs de altura.,Est. Automatica
689,340096  ,,Rio Pangal en Pangal,-34.25083,-70.33361,"1,477",0,DGA,01-11-2001,Automatica,Climatologica,Cordillera,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector precordillerano,Est. Automatica
690,340097  ,,Rio Cachapoal en Pte. Arqueado,-34.27417,-71.36889,120,0,DGA,01-10-2002,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector de predios agricolas.,Est. Automatica
691,340098  ,,El Arenal,-34.35583,-70.99139,266,0,INIA,01-10-2016,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector rodeado de predios agricolas,Est. Automatica
692,340099  ,,Rio Cachapoal 5 KM. Bajo Jta. Cortaderal,-34.35194,-70.36056,"1,16",0,DGA,01-03-1999,Automatica,Climatologica,Cordillera,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector precordillerano,Est. Automatica
693,340100  ,,Pichilemu DGA,-34.38528,-72.00750,10,0,DGA,01-07-1980,Automatica,Climatologica,Litoral,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector urbano. Ubicada a aprox. 70 mtrs de borde costero,Est. Automatica
694,340101  ,,Laguna del Yeso,-34.41111,-70.21028,"2,14",0,DGA,01-04-2013,Automatica,Climatologica,Cordillera,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector precordillerano.,Est. Automatica
695,340102  ,,Hidango Automatica INIA,-34.11250,-71.79722,296,0,INIA,01-06-2010,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector ubicado a 14 km del borde costero.,Est. Automatica
696,340103  ,,Rio Claro en Hda. Las Nieves,-34.49611,-70.70472,724,0,DGA,01-07-2013,Automatica,Climatologica,PreCordillera,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector precordillerano, sector rodeado con con cerros de aprox. 1.000 mtrs altura.",Est. Automatica
697,340104  ,,Laguna Los Cristales,-34.56167,-70.51055,"2,345",0,DGA,01-03-2013,Automatica,Climatologica,Cordillera,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector cordillerano.,Est. Automatica
698,340105  ,,Rio Claro en el Valle,-34.68667,-70.87389,476,0,DGA,01-05-2016,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector urbano, con abundantes predios agricolas",Est. Automatica
699,340106  ,,Rio Tinguiririca en Bajo Los Briones,-34.71833,-70.82639,574,0,DGA,01-03-1999,Automatica,Climatologica,PreCordillera,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector rodeado de predios agricolas, cerro al este de aprox 1000 mtrs altura",Est. Automatica
700,340107  ,,Laguna Torca,-34.76805,-72.06639,21,0,DGA,01-05-2014,Automatica,Climatologica,Secano Costero,Del Maule,No,No,"Sector costero, 2 km al este, laguna Torca.",Est. Automatica
701,340108  ,,Convento Viejo,-34.76944,-71.13305,252,0,DGA,14-06-2017,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector de predios agricolas.,Est. Automatica
702,340109  ,,Termas del Flaco DCP,-34.89111,-70.32972,"2,65",0,DGA,01-06-1999,Automatica,Climatologica,Cordillera,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector Cordillerano.,Est. Automatica
703,340110  ,,Curico,-34.97500,-71.24972,208,0,DGA,01-09-1971,Automatica,Climatologica,Valle,Del Maule,No,No,"Sector urbano, ubicado en curico",Est. Automatica
704,340111  ,,Rio Mataquito en Licanten,-34.98417,-72.00972,23,0,DGA,01-05-2001,Automatica,Climatologica,Secano Costero,Del Maule,No,No,"Estacion. ubicada a mtrrs de rio Mataquito, 300 al este Licanten",Est. Automatica
705,340112  ,,Rio Teno en Junta Rio Claro,-34.99833,-70.82361,655,0,DGA,01-08-1999,Automatica,Climatologica,PreCordillera,Del Maule,No,No,"Sector precordillerano, ubicada a orillas del rio Teno, en Los Quenes.",Est. Automatica
706,340113  ,,El Tambo,-34.47111,-70.98694,250,0,INIA,01-06-2010,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector de predios agricolas,Est. Automatica
707,340114  ,,San Fernando DCP,-34.59972,-70.96694,362,0,DGA,01-09-1971,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"sector municipal, 2,5 km al nw Centro de san fernando.",Est. Automatica
708,340115  ,,Pichilemu aerodromo,-34.39417,-72.01861,25,0,DMC,19-10-2017,Automatica,Climatologica,Litoral,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector urbano,Est. automatica (Red Basica) Contacto: Williams Castro
709,340116  ,SCRG,Aerodromo de la Independencia,-34.16944,-70.77167,487,"5,01",DMC,21-03-2019,Automatica,Aeronautica,Valle,Del Libertador Gral. Bernardo O'Higgins,Si,No,"Al este sector urbano, al Oeste sector rural.",TSV (DGAC)
710,340117  ,,Las Cabras Sta Brisila,-34.29805,-71.32389,131,0,FDF,22-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Rodeada de predios agricolas,Estacion Automatica (FDF)
711,340118  ,,San Fernando,-34.57778,-70.97555,340,0,FDF,22-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Inserta en la ciudad de San Fernando y rodeada de predios agricolas.,Estacion Automatica (FDF)
712,340119  ,,Olivar Olivar Alto,-34.20305,-70.82417,457,0,FDF,22-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Rodeada de predios agricolas a 1.5 Km del rio Cachapoal,Estacion Automatica (FDF)
713,340120  ,,"Graneros, Graneros Norte",-34.06194,-70.70500,499,0,FDF,22-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Rodeada de predios agricolas. Graneros a 1.5 Km de la estacion.,Estacion Automatica (FDF)
714,340121  ,,"Malloa, Los Maquis",-34.50000,-70.83972,469,0,FDF,22-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Valle con predios agricolas,Estacion automatica (FDF)
715,340122  ,,"Las Cabras, Rapel",-34.21667,-71.30000,127,0,FDF,22-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector de predios agricolas,Estacion automatica (FDF)
716,340123  ,,Codegua Norte,-34.10917,-70.63944,519,0,FDF,22-10-2019,Convencional,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Valle con predios agricolas.,Estacion automatica (FDF)
717,340124  ,,Chimbarongo,-34.67111,-71.03167,333,0,FDF,22-10-2019,Convencional,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector de predios agricolas.,Estacion automatica (FDF)
718,340125  ,,Codegua,-34.11028,-70.65361,515,0,FDF,22-10-2019,Convencional,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Valle con predios agricolas rodeado de cerros de aprox. 800 mtrs de altura.,Estacion automatica (FDF)
719,340126  ,,Placilla Chacarilla,-34.64167,-71.13555,245,0,FDF,22-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Valle de predios agricolas rodeado de cerros entre 750 mtrs y 300 mtrs.,Estacion automatica (FDF)
720,340127  ,,Palmilla,-34.54667,-71.39500,151,0,FDF,22-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector agricola.,Estacion automatica (FDF)
721,340128  ,,Nancagua 2,-34.66083,-71.28361,189,0,FDF,18-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector con abundantes predios agricolas.,Estacion automatica
722,340129  ,,San Vicente TT,-34.45778,-71.05056,221,0,FDF,18-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Abundante vegetacion y predios agricolas, estero Zamorano 700 mtrs al norte.",Estacion automatica (FDF)
723,340130  ,,Coltauco,-34.23778,-71.00500,311,0,FDF,18-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Valle con abundantes predios agricolas, Cerro al este de aprox 200 mtrs de altura.",Estacion automatica (FDF)
724,340131  ,,Chepica,-34.73861,-71.25805,207,0,FDF,16-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,,Estacion automatica (FDF)
725,340132  ,,Santa Cruz,-34.69083,-71.40000,173,0,FDF,16-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector de predios agricolas.,Est. automatica (FDF)
726,340133  ,,Lolol,-34.71389,-71.62972,114,0,FDF,16-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector con predios agricolas.,Estacion automatica (FDF)
727,340134  ,,La Estrella sur,-34.21389,-71.71611,286,0,FDF,16-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector de predios agricolas,Estacion automatica (FDF)
728,340135  ,,La Estrella Norte,-34.60639,-71.72833,149,0,FDF,16-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector con predios agricolas.,Estacion automatica (FDF)
729,340136  ,,Marchigue,-34.40555,-71.60722,137,0,FDF,16-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector agricola,Estacion automatica (FDF
730,340137  ,,"Rancagua, Punta Cortes",-34.17389,-70.79389,484,0,FDF,16-10-2019,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Valle con abundantes presdios agricolas, 700 mtrs al sur rio Cachapoal",Estacion automatica (FDF)
731,340138  ,,Vichuqen Rarin,-34.76555,-71.95667,23,0,FDF,28-10-2019,Automatica,Climatologica,Valle,Del Maule,No,No,Rodeada de predios agricolas,Estacion Automatica (FDF)
732,340139  ,,"Teno, Morza Norte",-34.83528,-71.02417,311,0,FDF,28-10-2019,Automatica,Climatologica,Valle,Del Maule,No,No,Rodeada de predios agricolas a 5 Km del embalse convento viejo,Estacion Automatica (FDF)
733,340141  ,,Vichuquen,-34.85500,-72.02611,46,0,FDF,28-10-2019,Automatica,Climatologica,Valle,Del Maule,No,No,Rodeada de sitios eriazos y una poblacion cercana Alto del Puerto,Estacion Automatica (FDF)
734,340142  ,,Teno,-34.87889,-71.16528,0,0,FDF,28-10-2019,Convencional,Climatologica,Valle,Del Maule,No,No,Rodeada de predios agricolas a pocos metros de Teno.,Estacion Automatica (FDF)
735,340143  ,,Rauco,-34.92500,-71.28305,212,0,FDF,28-10-2019,Automatica,Climatologica,Valle,Del Maule,No,No,Rodeada de predios agricolas,Estacion Automatica (FDF)
736,340144  ,,Curico Tutuquen,-34.96167,-71.31583,183,0,FDF,30-10-2019,Automatica,Climatologica,Valle,Del Maule,No,No,Rodeada de predios agricolas,Estacion Automatica (FDF)
737,340145  ,,Sagrada Familia,-34.99694,-71.37444,164,0,FDF,30-10-2019,Automatica,Climatologica,Valle,Del Maule,No,No,Rodeada de predios agricolas a metros de la Municipalidad Sagrada Familia,Estacion Automatica (FDF)
738,340146  ,,El Asiento,-34.02917,-70.99500,351,0,INIA,01-08-2017,Automatica,Climatologica,Valle,Metropolitana de Santiago,No,No,,Estacion Automatica
739,340147  ,,Rayentue,-34.32167,-70.83389,376,0,INIA,01-06-2018,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,,Estacion Automatica
740,340148  ,,Puente Negro,-34.38639,-71.98583,10,0,INIA,09-08-2017,Automatica,Climatologica,Litoral,Del Libertador Gral. Bernardo O'Higgins,No,No,,Estacion Automatica
741,340149  ,,Liceo Juan Buchanan,-34.39722,-71.16472,185,0,INIA,15-11-2017,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,,Estacion Automatica
742,340150  ,,La Rosa FDF,-34.32694,-71.25889,149,0,FDF,01-01-1989,Automatica,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sito rodeado por arboles frutales,estacion automatica FDF
743,340902  ,,"Rancagua, Radioestacion F.A.CH.",-34.13333,-70.71667,500,0,DMC,01-01-1887,Convencional,Climatologica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector urbano.,Observador meteorologico F.A.CH.
744,340904  ,,San Fernando de Mingue,-34.58333,-70.98333,350,0,DMC,01-09-1971,Convencional,Pluviometrica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,,Observador San fernando
745,340905  ,,El Porvenir fundo,-34.08694,-70.67250,501,0,DMC,01-07-1970,Convencional,TermoPluviometrica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector rodeado de predios agricolas,S/Observador
746,340906  ,,Paredones Vivero,-34.65000,-71.90167,57,0,DMC,01-03-1971,Convencional,TermoPluviometrica,Valle,Del Libertador Gral. Bernardo O'Higgins,No,No,"Sector rodeado de predios agricolas, rodeado de cerros de aprox. 100 mtrs altura.",Mirella Catalan Urzua
747,340916  ,,El Teniente,-34.08528,-70.45111,"2,042",0,DMC,01-01-1912,Convencional,Climatologica,Cordillera,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector cordillerano,Funcionario El Teniente
748,340922  ,,Chacayes BRADEN,-34.20000,-70.50000,860,0,DMC,01-06-1962,Convencional,Pluviometrica,PreCordillera,Del Libertador Gral. Bernardo O'Higgins,No,No,Sector precordillerano,Operador Chacayes
749,350001  ,,Los Quenes Reten,-34.99972,-70.81139,673,0,DMC,01-03-1941,Convencional,Pluviometrica,PreCordillera,Del Maule,No,No,"Sector precordillerano dedicado a la agricultura y ganaderia, Rio Teno 300 mts al Norte.",Carabineros de Chile
750,350002  ,,Curepto Essam,-35.09667,-72.06194,60,0,DMC,01-11-1918,Convencional,Pluviometrica,Valle,Del Maule,No,No,Zona forestal,Jorge Castro Sepulveda
751,350003  ,,Molina escuela agricola,-35.11361,-71.28417,253,0,DMC,01-10-1971,Convencional,TermoPluviometrica,Valle,Del Maule,No,No,Sector urbano.,Observador Esc. Agricola Molina
